,company,error,joburl,location_area,location_big,salary,searchterm,seekID,templatetext,title,yrlow,yrhigh,salrange,avg_sal
175,TAFE NSW - North Coast Institute,nobullets,/job/38214539?type=standard&searchrequesttoken=a78253d7-037d-4904-9839-484831eb1c96,not_listed,Coffs Harbour & North Coast,not_listed,data-analyst,38214539.0,"
This is an exciting opportunity to be part of TAFE NSW Student Services team.  The CRM Data Analyst is responsible for the provision of in depth data analytics support relating to the TAFE NSW CRM platform (Oracle CX
          Cloud) and integrated systems to various portfolios. Using insights gleaned from customer and business process data, the CRM Data Analyst provides a range of advice aimed at improving marketing, sales, service, support and regulatory reporting
          processes. You’ll love this role if you: 

Have experience in analysing and presenting customer and business process data for successful business improvements.
Have experience in CRM Applications (Oracle Service Cloud/RightNow experience highly regarded), highly advanced Excel capability and experience in the use of Analytics Tools.

 Reporting to the CRM Project Manager, the successful applicant will:

Provide continuously improving data analytics and reporting support for a range of TAFE NSW portfolios.
Produce CRM reports and analysis based on customer and business process data to inform marketing, sales, service, support and regulatory reporting performance improvement.
Take ownership of data analysis problems and provide potential solutions for improving processes and reporting.
Thoroughly understand customer processes being measured and validate accuracy of data being produced against expectations to ensure high quality reporting and communication.
Develop approaches to analyse and interpret customer insights, and support internal customers in the use of this data for customer engagement decision making.  

If you have…

Demonstrated experience in analysing and presenting customer and business process data for successful business improvements.
Experience in CRM Applications (Oracle Service Cloud/RightNow experience highly regarded), highly advanced Excel and SQL capability and in the use of Analytics Tools
Certificate IV in relevant discipline or equivalent skills, knowledge and experience.
Ability to address and meet focus capabilities as stated in the Position Description.  

Desirable…

Solid understanding of CRM customer lifecycle concepts as they apply to higher education, including marketing, sales, service and support   We would love to hear from you!

 TAFE NSW’s purpose is to skill the workforce of the future. It is Australia's leading provider of vocational education and training with over 500,000 annual enrolments and a proud history for setting the benchmark for
          quality service. As the NSW public provider, it supports the NSW Government's priority to grow skills for the economy and jobs of tomorrow. Critically, TAFE NSW plays a vital role in providing vocational education in rural and regional NSW,
          and job training pathways for the most vulnerable in the community. Status: Temporary full time until 28 June 2019 Job Grade/Classification: TAFE Worker Level
          4 Location: Negotiable Recruitment Reference: 00006ST4 Closing date: Monday 4 February 2019, 11:59pm To learn more          about this position please review the Position Description and Information Package Job Specific Enquiries          please contact Gemma Frith Talent Resourcing Officer on 02 6586 2276. Selection Criteria forms a specific part of the selection process.  Candidates for this role are required to address each of these items specifically in
          their application. Candidates will also be required to answer two target questions. Target Questions

Please provide a recent example of when you have been required to analyse and present customer and business process data in order to contribute to business improvement.  
Please describe your level of experience in the use of the following technologies:
            
CRM Applications (Oracle Service Cloud/RightNow)
Microsoft Excel
Analytics Tools
Working knowledge of SQL and data manipulation



 If you experience difficulties whilst submitting your application online at JobsNSW please contact the support team on 1800 562 679.  NOTE: This is a child-related position. A Working With Children Check is a prerequisite for anyone in child-related work.  It involves a national criminal history check and review of findings of workplace misconduct.  More information can be found at Working With Children Check.
",CRM Data Analyst,,,,
176,GRANITE CONSULTING,nobullets,/job/38238336?type=standard&searchrequesttoken=a78253d7-037d-4904-9839-484831eb1c96,not_listed,Melbourne,not_listed,data-analyst,38238336.0," Responsibilities 

Perform analysis to drive business objectives, business benefits and risks
Contribute to requirements (Design/Documentation) for SAP solutions for Finance system re-platforming
Manage data modelling efforts for Finance project
Advise/inform project team on data migration / data cleansing approaches
Advise/inform project Test Teams on testing strategy / setup
Taking responsibility for analysis within the project & delivery teams to identify business requirements and design valuable change solutions
Ensure requirements and solutions address people, processes, systems and information, where applicable
Utilise and promote best practise business analysis principles and techniques, and mentoring junior members of the delivery team
Facilitate workshops and agile ceremonies towards successful outcomes
Establish and maintain effective relationships with stakeholders and product owner

Requirements

Strong stakeholder management skills including the ability to influence, build credibility and gain commitment
Strong attention to detail
Strong verbal and written communication skills
Ability to thrive in a complex, fast-paced and fluid environment
Experience collecting, analysing and modelling data, promoting data driven decisions
Advanced data modelling skills
Significant expertise with SAP Finance Modules and TM1
High level of initiative with the ability to deal with multiple projects simultaneously


",Data Analyst,,,,
177,Illawarra Shoalhaven Local Health District,nobullets,/job/38245144?type=standard&searchrequesttoken=a78253d7-037d-4904-9839-484831eb1c96,not_listed,"Wollongong, Illawarra & South Coast",not_listed,data-analyst,38245144.0,"Employment Type: Permanent Full TimePosition Classification: Health Manager Level 1Remuneration: $72,591 - $97,649Hours Per Week: 38Requisition ID: REQ90387Applications Close:        Friday 15th February 2019
        What you'll be doing
The Procurement Data Analyst leads the selection, deployment, and use of data resources, analytical tools and methodologies to provide procurement intelligence to support procurement and category management strategies, decision making and performance.
 
Illawarra Shoalhaven Local Health District is committed to equal employment opportunity and embraces diversity and inclusion within its workforce. As such, people from diverse backgrounds are encouraged to apply. This includes but is not limited
          to Aboriginal and Torres Strait Islander People, People with Disability, Women and People from Culturally and Linguistically Diverse backgrounds.
    
An eligibility list will be created for future Temporary and Permanent Full-Time and Part-Time positions.
 
Please note: Employment of a temporary visa holder may only occur if no suitable permanent resident or citizen of Australia has been identified for this position following suitable labour market testing.
Selection Criteria

Relevant tertiary qualifications, such as in management, business administration or technically orientated, or equivalent experience, in a relevant discipline to facilitate effective procurement services.
Demonstrated knowledge of procurement processes including contemporary issues in tendering and product selection activities.
Demonstrated ability to successfully develop and implement effective metrics and reports to continually monitor and assess the performance of individual procurement arrangements and the risks and benefits realised for the total category/procurement
            function.
Excellent interpersonal, negotiation and influencing skills including the ability to interact constructively and collaboratively with a diverse range of stakeholders, throughout all organisational levels.
Demonstrated ability to work independently but with a capacity for effective team work.
Demonstrated organisational skills and experience working in a high volume and demanding professional environment with a capacity to prioritise competing demands and achieve results with a customer focused approach.
Willingness to travel in accordance with the demands of the position (drivers licence required).


Need more information?   1) Click here for the Position Description   2)
          Find out more about applying for this position For role related queries or questions contact Jodi Chiumento on Jodi.Chiumento@health.nsw.gov.au                  
   To view the position description or submit your applications please click the 'Apply' button below.  We are committed to Equal Employment Opportunity, Ethical Practices, and the principles of Cultural Diversity
        and promote a smoke-free work environment. Appropriate criminal record and child protection checks conducted for all positions. ",Procurement Data Analyst,,,,
178,Sirius Technology Melbourne part of Sirius People Pty Ltd,nobullets,/job/38242357?type=standard&searchrequesttoken=a78253d7-037d-4904-9839-484831eb1c96,CBD & Inner Suburbs,Melbourne,not_listed,data-analyst,38242357.0,"
You will have an opportunity to work with one of Melbourne’s Analytics Professionals. You will be working on a data migration project which will require you to cleanse, prepare, migrate and analyse data. You will be able to build dashboards and
          reports on Tableau providing meaningful insights to the business. At times you will need to use Python queries to pull data from the database. Your Benefits:

Melbourne CBD
Established Company
5 month contract
Immediate start
Data Migration project

Your Role:

You will be responsible for performance reporting
Responsible for data cleansing and ETL and write queries in SQL
You will liaise with internal stakeholders to understand what they need and provide analytics solutions from your analysis.
Build reports and dashboards in Tableau 

You will need:

Bachelor's Degree in IT/Stats


Demonstrated experience in a similar role reporting into a Business unit rather than IT
Proficient in Excel and relational database experience
Some experience in Python, ETL and SQL (Essential)
Strong critical thinking and high attention to detail
Excellent written and verbal communication skills
Must have demonstrated work experience on Tableau

You must have relevant working rights and available to start immediately. We are moving quickly. APPLY NOW.   
",Data Analyst - Data Migration Project - Contract - Melbourne,,,,
179,Dimensional Fund Advisors Australia Limi ted,nobullets,/job/38012192?type=standard&searchrequesttoken=a78253d7-037d-4904-9839-484831eb1c96,"CBD, Inner West & Eastern Suburbs",Sydney,not_listed,data-analyst,38012192.0,"

As a subset of the Research group within Dimensional, Investment Analytics & Data (IAD) is a core member of the Investments team, providing quality data and analysis to Portfolio Management, Trading, Research, Marketing, Institutional Client
          Services, and Financial Advisors Services. The IAD group is responsible for the creation, maintenance and enhancement of the company wide data management solution and associated analytics for making investment decisions and reporting on those.
          This includes but is not limited to working with security reference data, company financials, fund and index data, and all other data crucial to the investment process and downstream reporting. All members of this group share responsibility
          for clean, accurate data to internal and external clients. Attention to detail is crucial, as is inventiveness at finding different ways to analyze data. 
Responsibilities

Perform regular and ad hoc data validation of security reference and financial statement data, ensure data accuracy, and oversee various data reporting tools and processes.
Partner with various internal departments to answer performance and reporting questions, assist with ad hoc requests, and collaborate within a global team to identify solutions to any issue.
Create, understand and interpret returns, characteristics, and attributions for portfolios and indices.
Contribute to ongoing efficiency efforts to improve processes and tools.
Complete projects involving the collection, validation, analysis and presentation of data.

Requirements

Bachelors’ degree in a related field (i.e. Finance, Economics, Accounting, STEM academic disciplines or similar).
Professional industry experience (including internship/s) in an analytical capacity will be highly thought of.
Proficient communication skills, both written and verbal, with the ability to build lasting relationships with stakeholders.
Passion for finding solutions to complex analytical problems with keen attention to detail.
Ability to partner with peers as part of a collaborative team on various projects and successfully meet deadlines.
Strong computer skills (in particular, Excel), with the ability to learn additional programs.
A genuine interest in programming; coding experience will be viewed favourably (SQL, VBA, C#, etc.).

We're an equal opportunity employer who values individual differences and offers global opportunities for its employees.
For details of how we deal with your Personal Information, please see our Privacy Policy Statement located on our website (http://au.dimensional.com/policies/privacy.aspx), or available upon request.
","Analyst, Investment Analytics and Data",,,,
180,Wisely,nobullets,/job/38212738?type=standout&searchrequesttoken=a78253d7-037d-4904-9839-484831eb1c96,not_listed,Mackay & Coalfields,not_listed,data-analyst,38212738.0,"About us:Wisely is a dynamic Australian business providing end to end asset management solutions and professional consulting support to a vast range of industries including mining & resources, aviation, rail, defence,
        ports & infrastructure. Whilst our head office is in QLD and we conduct many projects and contracts in the surrounding regions, we support work all across Australia as well as internationally. We are proud to be a flexible
        business where we tailor packages based on individual needs, locations and circumstances to attract and retain industry experts within our team.The opportunity:With over 20 years asset management experience, we are
        seeking an experienced Data Analyst to join our mining maintenance team. Working directly within the Reliability Improvement team your key focus will be to analyse and collate data from various systems such as; SAP, Spotfire and others to identify
        maintenance requirements. You will be systems savvy, improvement focused and have previously worked in a similar position to be successful in this role. Benefits of joining our team:

Family-friendly position: no weekend work required.
Free travel and accommodation - flights, vehicle and camp accommodation provided for the right person.
Flexible contracts - you will be offered an attractive industry leading full time package or the option of casual or to subcontract through your own ABN.
Free mental health support for you and your family through our employee assistance program. 
Professional development opportunities plus coaching from our leadership team of industry experts. 
Recognition and diverse career opportunities across varied industries.
Salary sacrificing options for hire vehicles, superannuation and novated leasing.
Employee discounts on private health insurance, car rentals, accommodation and fitness.
 How to apply:'Apply now' or for a confidential conversation please call:Bridie DoddResource CoordinatorP: 1300 947 359Email: bridie.dodd@wisely.com.au ",Data Analyst,,,,
181,Hume Building Products,notemplatetext,/job/38233123?type=standout&searchrequesttoken=a78253d7-037d-4904-9839-484831eb1c96,not_listed,Sydney,not_listed,data-analyst,38233123.0,,Reporting and Performance Analyst. Permanent F/T position,,,,
182,Progressive People,nobullets,/job/38244847?type=standard&searchrequesttoken=a78253d7-037d-4904-9839-484831eb1c96,"CBD, Inner West & Eastern Suburbs",Sydney,not_listed,data-analyst,38244847.0,"
A new opportunity has become available for an experienced Data Analyst who has been involved in complex data migrations and data transformations to join a great team in the CBD on a 6 month fixed term contract. 
This role will be supporting the Data Migration Lead in the successful migration of the legacy data to the new Microsoft platform (Dynamics CRM, AX and custom SQL), analysing the legacy data, developing migration scripts, and resolving
                      rejects to ensure the success of the data migration. 
The ideal candidate will have strong SQL Server, SSIS and Stored Procedures. 
Key Responsibilities:

Hands on development, QA and performance tuning where necessary of SQL Scripts and packages  
Work with Accenture / Avanade to deliver the Data Migration 
Work with the SME and IT teams to deliver the data migration 
Analyse and document data needs for business processes, workflows and interfaces 

Requirements:

Tertiary qualifications in technology 
10+ years proven experience in the data field 
5 + years proven experience using Microsoft SQL Server 
Expert knowledge in MS SQL Tools – SSIS, SSAS, SSRS- and MS-Excel  
Experience in script performance tuning  
Experience of analysing complex databases structures 
Proven experience (2+) in large scale data migration projects onto MS SQL platform 
Demonstrable evidence of analysing and documenting complex data models  
Experience in analysing large datasets, uncovering trends & data patterns  
Proven ability to convey technical data constructs in business language  
Competent knowledge of RDBMs based data models 
Experience in meta-models  
Experience in the use and creation of Data lineage models 
Results orientated with good communication and interpersonal skills 
Desired experience in MS CRM, MS AX & Web based systems

For more information and to apply, please send your CV in WORD format to melina@progressivepeople.com.au  quoting 9419 or apply to this ad.
",Data Analyst,,,,
183,Talent – Winner ‘Seek Large Recruitment Agency of the Year’ 3 consecutive years!,nobullets,/job/38218121?type=standout&searchrequesttoken=a78253d7-037d-4904-9839-484831eb1c96,"CBD, Inner & Western Suburbs",Perth,not_listed,data-analyst,38218121.0,"

Iconic WA Company
Immediate start
Mining giant  
This iconic WA company are currently about to start a number of IT projects throughout the business including a large investment in the Analytics area.  These projects have been approved to start and have budgets in place. The successful
        candidates will need to be a self-starter who can work both on their own and in a team.Tasks and Responsibilities 



Talk to business stakeholders about their business needs and formulate analysis to enable you to make business recommendations
Automate, develop reports and build dashboards to enable you to provide insights and solve analytical needs
Make sure the full suite of Dashboards are up to date and relevant
Manipulate complex databases to develop practical models
Technical Skills 



Proven Data Modelling and Analytical skills
Data Visualisation tools background ideally PowerBI and/or Tableau
Experience in SAP, Ariba or Oniqua would be highly beneficial
Data Mining
Advanced Excel and SQL skills
 If you match the selection criteria and are interested in finding out more about the position, please forward your updated by clicking the ""APPLY NOW' button. For a list of all vacant positions, please see our website www.talentinternational.com.au. For further enquiries please call 08 9221 3300.



",Data Analyst / Business Analyst  - Perth CBD - Contract,,,,
184,Bluefin Resources Pty Limited,nobullets,/job/38249784?type=standard&searchrequesttoken=a78253d7-037d-4904-9839-484831eb1c96,not_listed,Melbourne,"$90,000 - $100,000 package",data-analyst,38249784.0,"
A leading Australian Household brand is currently seeking an experienced Data Analyst with proven customer analytics experience to execute data driven and insightful marketing & customer strategies
 
Reporting to the CRM Analytics Manager, you will be passionate in utilising their customer rich data to facilitate the organization's growth, working cross functionally to translate data into actionable insights.
 
Key Responsibilities

Assist with the development and execution of customer strategies
Drive analytically backed strategy to maximize the impact of their customer journey
Identify and segment prospective customers and leverage your data driven insights to strategize how best to approach them
Drive retention and growth across the customer base
Conduct advance SQL queriying to extract and manipulate data 

 
Key Skills

Have advanced skills in querying large volumes of customer data using SQL
A strong understanding of CRM systems to interpret data to produce customer insight and sound commercial recommendations
Have proven results in driving growth within a retail entity 
Feel comfortable working and collaborating with a wider team of passionate analysts
Have experience in presenting your data driven strategy to technical and non-technical audiences alike
Modelling experience will be highly regarded 
Experience across statistical modelling tools such as R, Python and/or SAS will be highly regarded

This is a unique opportunity for a passionate and experienced CRM Analyst who is looking to enhance their career within a creative and influential company.
 
For more information, please call Corrin on 03 83305003
IMPORTANT: By submitting your email address and any other personal information when you APPLY to a job, you consent to such information being collected, held, used and disclosed in accordance with our COLLECTIONS NOTICE and PRIVACY POLICY.
http://www.bluefinresources.com.au/privacy-policy
",CRM Data Analyst,90000.0,100000.0,10000.0,95000.0
185,Hays Information Technology,nobullets,/job/38232681?type=standout&searchrequesttoken=a78253d7-037d-4904-9839-484831eb1c96,"CBD, Inner West & Eastern Suburbs",Sydney,not_listed,data-analyst,38232681.0,"
Data Analyst required to join a leading financial services provider  Your new company This large banking organisation has an established footprint within Australia and has been commended on the overall quality of
            its financial products service. An opportunity exists for a data analyst to support remediation and work across a varied customer base.  Your new role You will identify data to be collected from financial systems
            and other related applications and assess and determine the techniques and tools to be used in the collection, analysis and communication ensuring consistent, accurate and repeatable delivery of data. The role requires executing codes for
            assessment during the discovery phase of remediation, providing detailed data assessment required as part of the customer financial impact assessment and revising and validating analysis as required through to visualisation.  What you'll need to succeed

Strong knowledge of data extraction and analysis from large customer bases
Experience with SAS, SQL Excel, Tableau
Use of data warehouses and core databases
Ability to turn quantitative and qualitative analysis into business insights and solutions.


Excellent stakeholder engagement skills
Analytic experience within the following would also be highly valuable - Mortgages, Deposits or Credit Cards

  What you'll get in return This is a great 12 month contract opportunity working across interesting projects for a financial services provider.  What you need to do now If you have a
            strong understanding of the skills required, a passion for data and you want to make an impact in an organisation then please apply now or email your application direct to Adelina.Ekechukwu@hays.com.au
",Data Analyst,,,,
186,Manpower,nobullets,/job/38212138?type=standard&searchrequesttoken=c1ecb901-46df-4c01-9367-e5790539b4fc,Ryde & Macquarie Park,Sydney,not_listed,data-analyst,38212138.0,"
The position: An exciting opportunity has become available for a data analyst to join our global pharmaceutical company based out of Macquarie Park. The department has implemented a large data project and is requiring an experienced
          professional to support and lead this process. You will work with a data analyst to complete this project in a timely and effective manner.
Daily Responsibilities: • Liaise with 3rd party vendors both local and international to implement business rules to streamline sales data • Map customers and products to a single customer/product in the system • Validate
          sales data and format to be loaded to CRM system • Manage elements of master data for the department
To ensure your success you must possess: • 3+ years in a similar role • Extremely high attention to detail • Advanced Excel skills and knowledge • Experience using Salesforce, Veeva or other CRM systems • Advanced
          database experience • Good oral and written communication skills • Stakeholder management experience • Ability to work autonomously as well as part of a small team
About our client: Our client is a leading Pharmaceutical company with around 50,000 employees work to further develop technologies that improve and enhance life - from biopharmaceutical therapies to treat cancer or multiple
          sclerosis, cutting-edge systems for scientific research and production, to liquid crystals for smartphones and LCD televisions. Our client provides innovative medicines, vaccines, biologic therapies and animal health products to help improve
          health and well-being.
Our client is wanting to get someone onboard ASAP so please click ‘APPLY NOW’ or email your interest to savannah.lee-hong@au.manpowergroup.com
",Data Analyst,,,,
187,TAFE NSW - North Coast Institute,nobullets,/job/38201646?type=standard&searchrequesttoken=c1ecb901-46df-4c01-9367-e5790539b4fc,not_listed,"Wollongong, Illawarra & South Coast",not_listed,data-analyst,38201646.0,"
This is an exciting opportunity to be part of TAFE NSW Student Services team.  The CRM Data Analyst is responsible for the provision of in depth data analytics support relating to the TAFE NSW CRM platform (Oracle CX
          Cloud) and integrated systems to various portfolios. Using insights gleaned from customer and business process data, the CRM Data Analyst provides a range of advice aimed at improving marketing, sales, service, support and regulatory reporting
          processes. You’ll love this role if you: 

Have experience in analysing and presenting customer and business process data for successful business improvements.
Have experience in CRM Applications (Oracle Service Cloud/RightNow experience highly regarded), highly advanced Excel capability and experience in the use of Analytics Tools.

 Reporting to the CRM Project Manager, the successful applicant will:

Provide continuously improving data analytics and reporting support for a range of TAFE NSW portfolios.
Produce CRM reports and analysis based on customer and business process data to inform marketing, sales, service, support and regulatory reporting performance improvement.
Take ownership of data analysis problems and provide potential solutions for improving processes and reporting.
Thoroughly understand customer processes being measured and validate accuracy of data being produced against expectations to ensure high quality reporting and communication.
Develop approaches to analyse and interpret customer insights, and support internal customers in the use of this data for customer engagement decision making.  

If you have…

Demonstrated experience in analysing and presenting customer and business process data for successful business improvements.
Experience in CRM Applications (Oracle Service Cloud/RightNow experience highly regarded), highly advanced Excel and SQL capability and in the use of Analytics Tools
Certificate IV in relevant discipline or equivalent skills, knowledge and experience.
Ability to address and meet focus capabilities as stated in the Position Description.  

Desirable…

Solid understanding of CRM customer lifecycle concepts as they apply to higher education, including marketing, sales, service and support   We would love to hear from you!

 TAFE NSW’s purpose is to skill the workforce of the future. It is Australia's leading provider of vocational education and training with over 500,000 annual enrolments and a proud history for setting the benchmark for
          quality service. As the NSW public provider, it supports the NSW Government's priority to grow skills for the economy and jobs of tomorrow. Critically, TAFE NSW plays a vital role in providing vocational education in rural and regional NSW,
          and job training pathways for the most vulnerable in the community. Status: Temporary full time until 28 June 2019 Job Grade/Classification: TAFE Worker Level
          4 Location: Negotiable Recruitment Reference: 00006ST4 Closing date: Monday 4 February 2019, 11:59pm To learn more          about this position please review the Position Description and Information Package Job Specific Enquiries          please contact Gemma Frith Talent Resourcing Officer on 02 6586 2276. Selection Criteria forms a specific part of the selection process.  Candidates for this role are required to address each of these items specifically in
          their application. Candidates will also be required to answer two target questions. Target Questions

Please provide a recent example of when you have been required to analyse and present customer and business process data in order to contribute to business improvement.  
Please describe your level of experience in the use of the following technologies:
            
CRM Applications (Oracle Service Cloud/RightNow)
Microsoft Excel
Analytics Tools
Working knowledge of SQL and data manipulation



 If you experience difficulties whilst submitting your application online at JobsNSW please contact the support team on 1800 562 679.  NOTE: This is a child-related position. A Working With Children Check is a prerequisite for anyone in child-related work.  It involves a national criminal history check and review of findings of workplace misconduct.  More information can be found at Working With Children Check.
",CRM Data Analyst,,,,
188,AMP Services Limited,nobullets,/job/38241744?type=standard&searchrequesttoken=c1ecb901-46df-4c01-9367-e5790539b4fc,"CBD, Inner West & Eastern Suburbs",Sydney,Competitive base + 12% super,data-analyst,38241744.0,"
Working for AMP 
 
Working for AMP means being part of a company that values diverse thinking, encourages collaboration and promotes innovation.  It’s an environment that offers challenging and exciting work as well as opportunities for professional growth.
          We’re flexible enough to allow you to make the most of your life, both professionally and personally. 
We are looking for those that have the courage and agility to navigate changing and complex environments so that we can deliver the best solutions for our customers. We value people with integrity, an innate willingness to help others and an eagerness
          to perform to the best of their abilities. 
 
 
About the role
 
The purpose of this excitring role is to manage the “single-source-of-truth” recordkeeping system capturing all regulator engagement across AMP
 
 
Key Responsibilities
 

Manage the daily in-take of all regulatory engagement correspondence into the GRGT mailbox
Track down missing data that does not come into the mailbox, where appropriate
Facilitate (when needed) and track the progress of regulator responses through submission and acknowledgement by the regulator
Apply a critical lens to all data processed from a regulatory perspective:
Assist in the review of regulator responses for consistency and tone
Assist in analysing and assessing activity to identify common regulatory themes, areas of increased regulator attention, and other areas of interest for AMP
Proactively identify and raise issues
Prepare overall status reports and dashboards that summarize or illustrate activities of the program for various levels of management:
Track and report on key risk indicators for the program
Prepare and present weekly regulator commitment and meeting reports to management

 
 
Capabilities & Experience
 

Demonstrated experience in data management, ideally in a risk, compliance or legal role or similar type function
Excellent data management skills, including proven ability to identify detailed gaps in data quality, perform data profiling and standardization (e.g. for reporting, analytics and audit)
Intermediate - Advanced skills in Excel, pivot tables and macro.
Ability to distil complex and / or highly technical concepts into a format accessible to a variety of audiences
Excellent stakeholder engagement and management skills
Understanding of the broader regulatory environment
Strong communication and influencing skills with the proven ability to influence credibly at a senior level

 
 
 
Wellbeing & Benefits 
As a company that values wellbeing, we offer a range of great benefits to support you financially, professionally and personally. These include access to a wide range of flexible working options including the ability to purchase extra leave, retail
          discounts, onsite wellbeing centre including a gym (Sydney Office), Employee Assistance Program, competitive home loan rates, leading superannuation contribution, discounted financial advice and personal insurance.
 
Inclusion & Diversity
AMP recognises individual differences and welcomes people from a variety of life and work experiences. The diversity of our people is core to our ability to innovate, grow and to fulfil our collective aspiration of helping people to own their
          tomorrow. A natural curiosity, a respect for differences and a growth mindset are valued at AMP

",Data Analyst - Group Regulatory Risk,,,,
189,Robert Half Technology,nobullets,/job/38225671?type=standard&searchrequesttoken=c1ecb901-46df-4c01-9367-e5790539b4fc,"CBD, Inner West & Eastern Suburbs",Sydney,Up to $100k p.a. + Bonus,data-analyst,38225671.0,"
List key benefits: (no more than 50 characters)
Make use of your ETL and SQL Server skills 
 
The Company 
 
Robert Half has an exciting opportunity for a tenured Data Analyst to join a well-established Financial Services business. You will work out of modern CBD offices and join a high performing team, taking part in a major Cyber Security project.
          On offer is a 12-month FTC that can interview as soon as this week.
 
The Role
 

Deliver Cyber Security Insights to multiple stakeholders in reporting,
Help your manager to build a unified data reporting and analytics platform,
Design local and physical databases,
Collaborate with architects for the platform,
Identify database performance improvements,
Oversee the consolidation of data into analytics platform,
Develop ETL processes,
Grow cyber security data platform capabilities.

 
Your Profile 
 

Experience with a Cyber Security project is highly preferred,
Experience using visual analytics and reporting tools, ideally Tableau,
Ability to code efficiently and automate data solutions across various data warehouses/platforms,
Deep understanding of ETL processes,
Experience using SQL and working with data warehouse environments.

Apply Today
Please send your resume by clicking on the apply button. Your application will be assessed within 3 working days. Please note only shortlisted candidates will be contacted.
Learn more about our Sydney recruitment services: https://www.roberthalf.com.au/sydney 
 
 
",Data Analyst,100000.0,100000.0,0.0,100000.0
190,National Resource Team,nobullets,/job/38211675?type=standard&searchrequesttoken=c1ecb901-46df-4c01-9367-e5790539b4fc,"CBD, Inner West & Eastern Suburbs",Sydney,not_listed,data-analyst,38211675.0,"

Immediate Start
3 month contract
Sydney location
 About the companyKarlka Recruiting Group has partnered with a State Government Agency to engage a Research Data Analyst. This position is located in their busy Sydney office with
        an initial 3 month contract with possible extensions.    Duties

Support the data analyst and economic statistical team
Compiling data sets for a whole range of integrators
Preparing data tables that are used for various projects
Good excel, pivot table, word processing, graph making, visualisation of research
Supporting a team and talking through the statistics - not giving presentations
    Requirements/Skills

Previous Experience in a similar position 
High attention to detail 
Research experitise 
  How to ApplyDue date: 31/01/2019Click APPLY NOW or contact Sang on recruitment@karlkarecruiting.com.au.  Please
        note, due to the large sum of applications received only shortlisted candidates will be contacted for further discussion. ",Data Analyst - Research,,,,
191,Pernod Ricard Winemakers,nobullets,/job/38215336?type=standard&searchrequesttoken=c1ecb901-46df-4c01-9367-e5790539b4fc,"CBD, Inner West & Eastern Suburbs",Sydney,not_listed,data-analyst,38215336.0,"

 
Pernod Ricard Australia is part of the Global Pernod Ricard Group – the World’s Co-leader in the Wine and Spirits Industry with an unrivalled collection of iconic brands, including Jacobs Creek®, Mumm®, Stoneleigh®, Absolut® Vodka, Chivas Regal®, Jameson®, and more.
 
A newly created role has become available within Pernod Ricard Australia for a Data Analyst to join our high performing Finance team. The Data Analyst will be responsible for cleaning, administering and analysing multiple datasets (from Finance,
          Marketing, Sales…), as well as consolidating them from the various systems used by the business into ‘one source of truth’ BI database.
 
In addition, the role will lead the process of the creation of BI dashboards (with a focus on Power BI) to generate key business insights and improve speed of decision making.
 
The Data Analyst will ensure business data is accurately captured and streamed to populate the BI platform (Datalake, Jupyter Notebooks) and any other key Data Management tool identified. 
 
The Data Analyst will manage the maintenance of the reports and BI infrastructure (including configuration of the user accounts, technical support, backups, staff training, etc.) and liaise with support function teams to discuss and identify solutions
          on data capture and report generating.
 
Responsibilities:

Evaluate datasets for consistency, completeness and accuracy
Audit data on a regular basis and ensure data integrity
Identifies and prioritises data quality issues impacting data provisioning to the BI platform 
Manage the regular report running schedule and process
Mapping out and maintaining the company's critical business processes
Develop process improvements for data management activities
Acquisition, distribution and validation of business data for analytical purposes
Support of existing and creating new reports and dashboards
Point of contact for distribution and collection of analytical outcomes
Perform data management activities in accordance with customer, company, contract, and regulatory requirements
Perform data analysis using statistical tools
Continuous improvement of systems and tools used within the business
Address any issues, questions and problems in accurate and timely manner

 
The successful Candidate will have:

A relevant degree qualification in a technical field (e.g., Statistics, Computer Science, Mathematics, or related discipline)
Between 2 and 4 years of working experience
A good data processing understanding and knowledge of Python
Understanding of data models and integration of data from various sources
Experience with reporting packages and Business Intelligence tools (MS Power BI or Tableau)
MS Excel: excellent level, knowledge of pivot tables, functions such as INDEX, MATCH, etc.

 
This is an exceptional opportunity to join a global organisation with a portfolio of iconic international brands. We are a company of people with commitment and integrity, we value entrepreneurship and conviviality. It's a winning mix that's seen
          the Pernod Ricard Group ascend to co-leader in wine and spirits globally, and makes it a great place to work for like-minded people.
 
If you have the required skills and are looking for a new challenge, please apply today.
 
For further information, please visit our career website:  http://www.pernod-ricard-australia.com/people/current-opportunities
 
Please note that only those holding full working rights in Australia will be considered for this role.
 
Applications close 12th February 2019. 
 
",Data Analyst,,,,
192,Perigon Group Pty Limited,notemplatetext,/job/38216426?type=standout&searchrequesttoken=c1ecb901-46df-4c01-9367-e5790539b4fc,"CBD, Inner West & Eastern Suburbs",Sydney,not_listed,data-analyst,38216426.0,,Junior Data Analyst,,,,
